prompt,output
"From: huot@cray.com (Tom Huot)
Subject: Re: Ulf and all...
Lines: 29
Nntp-Posting-Host: pittpa.cray.com
Organization: Cray Research Inc.
X-Newsreader: TIN [version 1.1 PL8]

Richard Wernick (richard@amc.com) wrote:
: You should be ashamed to call yourself an Ulf Samuelson fan. Anybody who plays
: the way he does, does not belong in the NHL. There have been cheap shot artists
: through the history of the game, but a lot of them have been talanted players.
: Bobby Clarke, Kenny Linsemen, Pie McKenzie, Chris Chelios etc.. but nobody has been
: out right as dirty a cheapshot coward as Ulf. Violence in hockey has got to be curbed
: and players like (Should have been a Women) Samuelson don't belong. When players
: like Ulf, who's main purpose is to injure the better players in the league is allowed
: to continue, and the league won't stop it, the players should. A Christian Pro 1000
: aluminum stick directed at his ugly head should do the trick nicely. If the Bruins get
: a chance to meet Pittsburgh in the near future, you can bet Neely will have his day.
: The sight of watching Ulf turtle up like the coward he is, is worth almost as much as a
: Stanely Cup. This wimp of a player almost ruined the career of one the best right wingers
: in the game. If you are to remove Ulf Samuelson from the lineup, the Penguins would not
: even notice he's gone. He's an eyesore on the game of hockey.


: Rich


Thank you for your extremely lucid and well thought out observation.
Now when you get back on your medication, please let us know how you
are feeling. 
Thank you,
--
_____________________________________________________________________________
Tom Huot        			       
huot@cray.com 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",hockey
"From: steinman@me.utoronto.ca (David Steinman)
Subject: Re: And America's Team is....But Why?
Organization: UofT Mechanical Engineering
Lines: 15

cka52397@uxa.cso.uiuc.edu (OrioleFan@uiuc) writes:

>	The defenition of the Underdog is a team that has no talent and comes
>out of nowhere to contend.  The '69 Mets and '89 Orioles are prime examples,
>not the Cubs. 

Sorry, but it is *virtually* impossible to win a division with ""no talent""
over 162 games.

I would amend your definition to:

underdog:  a team expected to lose, but which wins thanks to underestimated
           talent.
--
Dave!",baseball
"From: ad215@Freenet.carleton.ca (Rachel Holme)
Subject: Re: Canucks clinch, Bure to score 20 playoff goals
Reply-To: ad215@Freenet.carleton.ca (Rachel Holme)
Organization: The National Capital Freenet
Lines: 21


In a previous article, steveg@cadkey.com (Steve Gallichio) says:
>
>Ron Apland (apland@mala.bc.ca) writes:
>> Quinn will resign as head coach (this is no secret) and HOPEFULLY they will 
>> BRING IN someone who looks at the game spatially and institutes some team 
>> disciplined play.  How about Keenan?  Give him what he wants, GM and Coach,
>> and have Quinn upstairs as president.
>
>I was under the impression that Rick Ley was in line for the Canucks job
>should Quinn step off the bench. Ley coached in the Canucks' organization

BRING BACK HARRY!  (NEALE)  At least he was witty...

-- 
ad215@freenet.carleton.ca (Rachel Holme)]",hockey
"From: rcasteto@watsol.uwaterloo.ca (Ron Castelletto)
Subject: Orioles Phillies Red Sox
Keywords: orioles phillies red sox baltimore philadelphia boston bosox
Organization: University of Waterloo
Distribution: na
Lines: 20


Can someone send me ticket ordering information for the
following teams:  Baltimore, Philadelphia and Boston.

Also, if you have a home schedule available - can you tell me the dates
for all home games between July26-Aug6 and between Aug30-Sept10 and if
any of these games are promotion nights or special discount nights?

Thanks !!!  Ron

PS: and also who the opponents are for these games :-)

Do NOT reply to this account,
please reply to:  ronc@vnet.ibm.com

 __        _                 IBM Canada Lab Database Technology
|  \      / \                Associate Development Analyst
|__/ on   |  astelletto      (416) 448-2546 Tie Line: 778-2546
| \_      \_/                Internal Mail: 51/843/895/TOR",baseball
"From: brian@meaddata.com (Brian Curran)
Subject: Re: ESPN/TBS GAMES?
Article-I.D.: meaddata.1pptv1$mgb
Distribution: world
Organization: Mead Data Central, Dayton OH
Lines: 13
NNTP-Posting-Host: taurus.meaddata.com

In article <05APR93.13661642.0023@lafibm.lafayette.edu>, VB30@lafibm.lafayette.edu (VB30) writes:
|> Does anyone know where I can get a list of nationally televised
|> games, such as ESPN and TBS?  I live on the East coast and I'd
|> like to catch as many Giants games as I possibly can!

This list is published every week in Baseball Weekly.
-- 
------------------------------------------------------------------------------
Brian Curran                 Mead Data Central              brian@meaddata.com 
------------------------------------------------------------------------------
                ""That was not swimming.  That was bathing.""
     - A German reporter, after watching 1972 Olympic superstar swimmer
           Mark Spitz get badly beaten during a 1991 comeback race",baseball
"From: dchhabra@stpl.ists.ca (Deepak Chhabra)
Subject: Re: Vlad's Playoff Picks
Nntp-Posting-Host: stpl.ists.ca
Organization: Solar Terresterial Physics Laboratory, ISTS
Lines: 156

In article <vzhivov.734637613@cunews> vzhivov@alfred.carleton.ca (Vladimir Zhivov) writes:

Wales Conference, Adams Division, Semifinal
>Boston vs. Buffalo:
>The Bruins are playing some excellent hockey, and with Cam Neely back
>and Moog his old self again this should be a cake-walk.  BRUINS IN 5.

I'm hoping for a Fuhr miracle, but I agree that Boston will likely win the
series.  Goaltending is about equal, top offensive players are about equal
(Mogilny-LaFontaine vs. Oates-Juneau), but Buffalo has no answer to Neely
(not to imply that Neely is not a top offensive player btw, in fact he's one
of my favourites even though he's a damn Bruin :) ).  And the rest of the
matchup wrt lineup favours Boston anyway.  But I think it will go six.

>Quebec vs. Montreal:
>This one is very tough to call. Montreal certainly has the experience
>factor, but Quebec is more talented IMHO. It'll come down to the
>goalies.  I'll go with experience and Roy. CANADIENS IN 7.

Agreed here...but Montreal will be pushed to the limit.  Is it just me, or
does everything Montreal does in the playoffs come down to Roy?  Go Habs!!

Final
>Boston vs. Montreal:
>Will Bruin domination continue in this rivalry? Yes. Moog has
>consistently outperformed Roy in the playoffs (after 1986)..[other stuff]
> Bruins in five.

I can't predict a Montreal victory because I've been watching them play for
6 weeks and IMO they severly need some tougher players, especially to play
in the Garden.  Last time they beat the B's 5-2 but Boston had a clear
territorial advantage; the victory was Roy's.  At the same time, I can't
bring myself to predict the possibility of a loss, so I'll just say I will
not be putting money on this series. :-)

>Patrick Division, semifinal

>Pittsburgh vs. NY Islanders:
>What can I say? The Pens are flying high and have the most talent in
>the league. 

Agreed.  NY doesn't have the goaltending to stop the onslaught, independent
of the trouble they have given Pittsburgh this year.  Pens in five, which is
credit to NY.

>Washington vs. New Jersey:
>CAPITALS IN 5.

Agreed here too, but I think it will go at least six.  Jersey has a decent
team, and Washington has done poorly against the division this year.

>Pittsburgh vs. Washington:
>If the Caps had Bill Ranford I might see an upset, but Don Beaupre
>just doesn't inspire my hopes.  PENGUINS IN 6.

I think they will use Tabaracci more after Beaupre gets shelled.  I don't
think it will go six either...*maybe* five.

>CONFERENCE FINAL:
>Pittsburgh vs. Boston:
>A replay of last year. The Penguins are just as good as 12 months ago,
>and the Bruins are much improved. But... PENGUINS IN 6.

If Pittsburgh plays Boston, IMO they win in likely five, possibly six.  They
own the Bruins.  If they play Montreal, I think it will go to seven, and once
again I won't be putting money on the seventh game.  I say seven because the
Habs have played Pittsburgh very tough this season.

>Campbell Conference, Norris Division, semifinal

>Chicago vs. St. Louis (or Minnesota):
> BLACKHAWKS IN 5.

Chicago will win, but I think in at least six.  Chicago is not that good,
IMO.  And remember that they take ridiculous numbers of penalties.

>Detroit vs. Toronto:
>The Leafs have had an excellent season, but they've been playing
>playoff hockey all year - the Habs under Burns were the same way and
>always wilted in the playoffs.  RED WINGS IN 5.

Very true.  The Leafs have much to be proud of, but they will soon find out
why Montreal did so lousy in the playoffs.  Toronto might win two or three 
at MLG though.  Wings in six, maybe even seven.

>FINAL:
>Chicago vs. Detroit:
> This will be a war. Fedorov will win it in OT. RED WINGS IN 7.

It _will_ be a war...possibly the most intense playoff series of them all. 
And yes, I think Detroit will win.  Probert will have to come up big though.

>Smythe Division SEMI-FINALS:

>Vancouver vs. Winnipeg:
> CANUCKS IN 7.

Our first disagreement.  Canucks are playing like shit.  They don't use their
size *at* *all*, which may explain why they get hammered 8-1 by a team
chasing them (Calgary)....Winnipeg in six.

>Calgary vs. Los Angeles:
>This would have been tough to call, except for three things. 1/ The
>Kings don't have a goalie; 2/ Gary Roberts will be back; 3/ the Kings
>shot themselves in the foot by trading a proven winner (Paul Coffey)
>for a proven loser (Jimmy Carson). Gretzky is just too weary to carry
>this group. FLAMES IN 5.

This is also tough for me to call, because I haven't seen the Smythe enough. 
I don't think Roberts will be well enough to figure in, Coffey is a
non-issue, who cares what Carson has done before, and *never* underestimate
Gretzky.  LA in six.

>FINAL:
>Vancouver vs. Calgary:
> FLAMES IN 6.

If it is these two, Calgary will not need six games.  But I think it will be
LA-Winnipeg anyway, and LA in seven, because of home ice.

>COFERENCE FINAL:
>Detroit vs. Calgary:
> RED WINGS IN 7.

Wow, must've been tough to go against your team.  But let's see, I picked
LA-Detroit.  Detroit will win, probably in six.

>STANLEY CUP FINAL:
>Pittsburgh vs. Detroit:
>Three in a row and official 'dynasty' status for the Pens? Or can the
>Wings complete a dream season? Well, the Wings are better in goal (not
>sufficiently so though IMHO) and have better D-men. However, Mario and
>the boys can sure score. Look for Jagr to shine in the playoffs,
>though I sure would love to see Probert beat some sense into him. The
>Pens are just too much, especially since Detroit will have a tougher
>battle to get here. PENGUINS IN 5.

If Pittsburgh plays Detroit, it will go longer than five, and I wouldn't bet
against the Wings.  They are very strong, IMO, and nobody knows *how* strong
because they've been underachieving most of the year.  If forced to choose,
though, I'd have to take the Penguins.

A side note.  Vlad, last week you said that Selanne was a better player than
Gilmour.  NO WAY.  He is a more talented pure goal scorer...but aside from
the age difference, there is no way I would take him over Gilmour on my team.
I'm not asking for flames, either, btw....I've spent more than enough time
arguing on behalf of Selanne and I still say he's a great player.  But while
he and Gilmour are both dangerous offensively (give Teemu an edge),
Gilmour *does* *it* *all*.  I know a lot of Gilmour-bashing goes on, esp.
from Flame fans.  But IMO you guys are letting your dislike of Gilmour cloud
your judgement when it comes to his skill.  He is easily one of the best
all-round players in the NHL.



dchhabra@stpl.ists.ca",hockey
"From: kime@mongoose.torolab.ibm.com (Edward Kim)
Subject: Re: Ind. Source Picks Baerga Over Alomar: Case Closed 
In-Reply-To: tedward@cs.cornell.edu's message of Fri, 16 Apr 1993 19:07:35 GMT
Distribution: na
Lines: 8
	<1993Apr16.190735.13322@cs.cornell.edu>
Organization: IBM Toronto Lab

> That's a joke!  (Alomar might not be a gold-glover, but he's certainly
> no worse than Baerga defensively.)
Actually Alomar is a two-time gold-glover (91-92).

> 
> -Valentine

Edk",baseball
"From: luriem@alleg.edu(Michael Lurie) The Liberalizer
Subject: Re: Pleasant Yankee Surprises
Organization: Allegheny College
Lines: 7

In article <120399@netnews.upenn.edu> sepinwal@mail.sas.upenn.edu (Alan  
Sepinwall) writes:



Thanks Alan, that was well thought out.
 Even written in an entertaining style.",baseball
"From: cmk@athena.mit.edu (Charles M Kozierok)
Subject: Re: Best Homeruns
Organization: Massachusetts Institute of Technology
Lines: 22
NNTP-Posting-Host: electric-monk.mit.edu

In article <1993Apr16.172502.2301@osf.org> dswartz@osf.org (Dan Swartzendruber) writes:
} In article <4200419@hpcc01.corp.hp.com> boell@hpcc01.corp.hp.com (Donald P Boell) writes:
} >I'd have to say the most impressive HRs I've ever see came from Dave Kingman
} >and his infamous moon-raker drives...
} 
} I remember one he hit circa 1976 at Wrigley Field that went across
} the street (in dead center field) and hit a house on the roof.  He
} whiffed a lot, but when he *did* connect, watch out!

the best home run i have *ever* seen came off, believe it or not,
Roger Clemens (sorry, Val) a couple of years ago. he threw a ball to
Incaviglia which was literally at Inky's neck, and he absolutely 
hammered the crap out of it. after the swing, Clemens nonchalantly
motioned for a new ball--he didn't even turn around to look, or
even get upset. the ball hit the lights in the left-field standard,
some 70 or so feet about the Green Monster (over 100 feet above the
ground total!)

truly an amazing shot.

-*-
charles",baseball
"Subject: Re: Finnally, the Phils have support
From: f67709907@violet.ccit.arizona.edu (Greg Franklin)
Distribution: world,local
Organization: University of Arizona
Nntp-Posting-Host: violet
Nntp-Posting-User: f67709907
Lines: 54

In article <C4x9xA.9Ew@news.udel.edu>, philly@brahms.udel.edu (Robert C Hite) writes:
> In article <4fjQpAu00WBLM1z50R@andrew.cmu.edu> Anuj Gupta <ag4i+@andrew.cmu.edu> writes:
>>Everytime I have written on the net about the possibility of a
>>successfuls season by the Philadelphia Phillies, I have gotten ripped
>>from everybody from Pittsburgh to Calcutta.  But if all the
>>ignoramouses, care to look at this week's Baseball Weekly, they will see
>>that I'm not the only one who considers then as division winners - the
>>rest of the most respected baseball writers in the country do as well.
> 
> And these guys certainly know what they're talking about.  Every
> bozo from Pittsburgh to Calcutta will just have to sit up and take
> notice!  This Phils team in an offensive juggernaut which is going
> to score a LOT of runs and put up a TON of hits on the scoreboard.
> You people out there are going to be sick of seeing PHILLIES
> scattered all over every offensive league leaders category in the
> newspaper.  These guys hit .304 through Spring Training..well before
> getting no hit yesterday.  But they had a plane to catch 45 minutes
> after the game ended, so they're minds weren't in it.

Up to this point, I really thought this had been written by a 
pro-SDCN, anti-mediot poster blessed with a certain talent for
sarcasm and biting remarks.  Somebody like me, for instance.
The lurid overstatements were obviously intended to humiliate the
original poster.

> Now, on top of the great offense, they have a slightly above average
> pitching staff which has a lot of youth and promise.  If the
> pitchers do their part, and Mitch keeps blown saves to a minimum,
> look for another pennant out in left field at the Vet...
> 
> Robert C. Hite
> 
> P.S. Michael Jack Schmidt for COMMISSIONER

But then the scales were lifted from my eyes.  Looks like Robert is
really being serious.  Oh, well.

I compare the performance of the 1992 Phillies with the 1987 edition,
which had outstanding run producers at every position except SS, yet
finished at a frustrating sub-.500 level.  The 1987 folks didn't 
ever amount to anything, and neither will the 1992 squad, IMHO.

Any other parallels with previous years' teams for this year's
editions (in the style of 1993 Braves = 1971 Orioles)?
-- 
Greg ""Mockingbird"" Franklin   ""Interracial mixing encompasses a lot lot more
f67709907@ccit.arizona.edu      than mingling between G7 races."" -- robohen

   Things One Wishes to See
     The moon, flowers, the face of a dear one.
     Well-performed No.
     The furnishings of a tea cottage.
     The real thoughts of one's lover--and her letter.
     All famous places.",baseball
"From: gjp@sei.cmu.edu (George Pandelios)
Subject: Re: Washington To Beat Pitt
Organization: The Software Engineering Institute
Lines: 35


In article <1993Apr14.185059.27513@ncsu.edu>, fmsalvat@eos.ncsu.edu (FRANK MICHAE SALVATORE) writes:
|> 
|>  
|> 
|> > 
|> > What makes you think so?  I'd like to understand your reasoning.
|> > From my seat, the Caps don't really appear to believe that they can 
|> > defeat Pittsburgh.  Therefore, they don't.  I think their spirit was 
|> > broken in last year's playoffs and hasn't really recovered.  I don't know 
|> > what the season series numbers were, but I believe that the Pens won it.
|> > I think that either the Devils or the Islanders will cause more problems for
|> 
|> 
|> What is this spirit crap?  I'm a Caps fan and hope they win
|> if they end up facing Pittsburgh,
|> but I don't think the Caps lose to Pitt because of lack
|> of spirit.  Yes, the Penguins won the season series against the
|> Caps.  They've won eighteen games in a row for God's sake.
|> Did you ever think the Penguins might be good, and that's
|> why they win?

I re-read what I wrote and it didn't say exactly what I thought.  

Sure the Pens are a better team.  They've got size and the best skill players
in the league.  They've also got the best clutch goaltending.  They're the 
best team in the league.

But, my point was the Caps have not played to their ability level vs the
Pens since last year's choke.  And that's the mental problem (the one they've
had for a number of years) I tried to point out.  Spirit, mental preparedness,
will to win, whatever you want to call it, it's missing when the Caps play the
Pens.  Actually, you're right - it won't make any difference.

George",hockey
"From: savoy@hg.uleth.ca (Jim Savoy)
Subject: Re: WHAT'S WITH ALL THESE SCORES?
Reply-To: savoy@hg.uleth.ca
Organization: University of Lethbridge
Lines: 33

> (Sean Garrison) writes:

>} Alright.  I have one thing to say.  I don't know if it's just me, but I
>} thought this newsgroup is a place for discussion.  Why must people
>} constantly post these little messages about how a certain team is winning
>} in a certain inning?  I mean, come on!  How many people are so dependent on
>} this newsgroup that they have to find out the scores mid-game here?

> cmk@athena.mit.edu (Charles M Kozierok) writes:

>amen.

I hear ya, brother.

> take a look at the timestamps on some
> of the posts you read sometime--the propagation delays are significant,
> often hours or even days, and even people who have access to machines
        ^^^^^^^^^^^^^^^^^^
> which are close to the poster on the network...

Let's try WEEKS! It is April 18th today and I just finished reading posts
regarding the Cleveland Indians boating tragedy. Needless to say, I don't want
to read partial linescores of games played 3 weeks ago.

As Charles mentioned (I excluded the quote): Join a mailing list if you want to
woof (I consider entering 4th inning scores as woofing). Thank you. Now to
plug on and read the rest of the posts about spring training...

 _____________________________________________________________________________
     Jim Savoy          University Of Lethbridge         savoy@hg.uleth.ca

                        Sigless and Bible Black",baseball
"From: pkortela@snakemail.hut.fi (Petteri Kortelainen)
Subject: Re: Helsinki/Stockholm & NHL expansion?
Organization: Helsinki University of Technology, Finland
Lines: 20
Distribution: inet
	<C5H9wr.6J3@polaris.utu.fi> <1993Apr15.095653.17514@abo.fi>
NNTP-Posting-Host: lk-hp-17.hut.fi
In-reply-to: MLINDROOS@FINABO.ABO.FI's message of Thu, 15 Apr 1993 09:56:53 GMT

In article <1993Apr15.095653.17514@abo.fi> MLINDROOS@FINABO.ABO.FI (Marcus Lindroos INF) writes:

>In <C5H9wr.6J3@polaris.utu.fi> franti@polaris.utu.fi writes:


>Not too low perhaps, but surely not as high as that of an European NHL
>division. The Finnish team, for example, would contain all players currently 
 on
>the national team plus a top-class foreigner or two. They would be in an
>entirely different league than TPS or Jokerit, both of whom have perhaps a
>dozen players of international class - if even that. Why settle for a minor
>league when you could have the best?

How many players of international class an average NHL team has. 6-10?
Top players just play more in smaller rinks. Is the quality of European hockey
really poor, then recent years only few north-american (usually good farm 
players) players have got place in Finnish league or Elitserien, while most 
have been shipped back. 

Petteri Kortelainen",hockey
"From: golchowy@alchemy.chem.utoronto.ca (Gerald Olchowy)
Subject: Re: hawks vs leafs lastnight
Organization: University of Toronto Chemistry Department
Distribution: na
Lines: 15

In article <93106.082502ACPS6992@RyeVm.Ryerson.Ca> Raj Ramnarace <ACPS6992@RyeVm.Ryerson.Ca> writes:
>did anyone else see this game last night ? just like a playoff game!!
>lots of hitting...but I was disappointed by the video goal judge...
>on all replays, joe murphy's goal shouldn't have counted ! it didn't go in net
>!! and according to the tsn broadcasters, the video goal judge said that he
>saw the water bottle on top of the cage move so he assumed the puck went in!
>this is terrible...hope crap like this doesn't occur in the playoffs!
>the game would have ended in 2-2 tie !

I thought the red light went on...thus, in the review, the presumption
would be to find conclusive evidence that the puck did not go in the
net...from the replays I say, even from the rear, the evidence wasn't
conclusive that the puck was in or out...in my opinion...

Gerald",hockey
"From: MLINDROOS@FINABO.ABO.FI (Marcus Lindroos INF)
Subject: Re: expanding to Europe:Dusseldorf
In-Reply-To: voecking@Informatik.TU-Muenchen.DE's message of Fri, 16 Apr 1993 07:37:16 GMT
Organization: Abo Akademi University, Finland
X-News-Reader: VMS NEWS 1.24
Lines: 36

In <1993Apr16.073716.16514@Informatik.TU-Muenchen.DE> voecking@Informatik.TU-Muenchen.DE writes:

> 
> In article <1993Apr15.192231.27574@abo.fi>, MLINDROOS@FINABO.ABO.FI (Marcus Lindroos INF) writes:
> |> In <PKORTELA.93Apr15164732@lk-hp-17.hut.fi> pkortela@snakemail.hut.fi writes:
> |> 
> |> > 
> |> > DEG has many german-born forwards in the team. In fact the majority of players
> |> > are german-born. 1992-93 DEG had 11150 average in 11800 spectator arena.
> |> 
> |> Interesting! One of our German friends here (Robert?) told me their forwards
> |> were all Canadian-Germans. Perhaps somebody can sort this out for us?
> 
> As far as I know Dusseldorf has only one Canadian-German forward (i.e. a  player
> who was born in Canada but now has a German passport). 
> Benoit Doucet became german by marriing a german and he is going to play 
> for Germany in the WC.
> 
> The other Canada-born forwards are:
> 	Peter-John Lee (has British passport)
> 	Chris Valentine
> 	Dale Dercatch
> 	Steve Gootas
>  	Earl Spry (?)
> 
> At the moment there are only three German-born forwards coming into my mind:
> 	Bernd Trunschka, Andreas Brockmann, Ernst Koepf
 
Hm, do you think Dusseldorf fans would like it if their team joined the NHL?
Or do we have to include Koln as well (Cologne to you Anglophiles) to make 
them happy?:-)
 
> Volker

MARCU$
>",hockey
"From: caine@uxa.cso.uiuc.edu (Lord Vader)
Subject: Trivia:  the Habs?
Organization: University of Illinois at Urbana
Lines: 7


OK, I'm sure that this has been asked 100's of times before, but I
have wondered since I heard it...  Where the hell did the nickname
of the ""Habs"" come from for the Montreal Canadiens?

Thanks in advance,
Caine Schneider",hockey
"Organization: University of Maine System
From: Ryan Robbins <IO20456@MAINE.MAINE.EDU>
Subject: Re: DESIGNATED HITTER RULE
 <1993Apr5.153407.19101@hpcvaac.cv.hp.com>
Lines: 8

Actually, there can be any number of players on a side. You can
have a 25-man roster, a 40-man roster, etc....

Ryan Robbins
Penobscot Hall
University of Maine

IO20456@Maine.Maine.Edu",baseball
"From: dkl@cs.arizona.edu (David K. Lowenthal)
Subject: Re: Braves & Giants
Organization: U of Arizona CS Dept, Tucson
Lines: 14

In article <13536@news.duke.edu> fls@keynes.econ.duke.edu (Forrest Smith) writes:
>
>	Cox should've protested the game the second time the garbage got
>thrown at his outfielders.  He should also have protested the game at the
>point where Ron Gant was assessed the second strike in the ninth, on the
>grounds that he (Cox) was on the field and time should have been called.

Both protests would be denied, of course.  The umpire's judgement
determines the garbage thing, although I think the game should be
called (but that's my personal opinion...doesn't matter).  There
is time only when the ump says, so the second argument is baseless.


--dave",baseball
"From: 06paul@ac.dal.ca
Subject: My Predictions of a classic playoff year!
Organization: Dalhousie University, Halifax, Nova Scotia, Canada
Lines: 73

Here is yet another prediction for them great playoffs!
(you may laugh at your convenience!) :)

	Adams Division (I hate the NE (name) divisoin!!!)

BOS vs BUF   BOS in 5  (the B's are hot lately!)

MON vs QUE   MON in 7  (This will be the series to watch in the first round!)


BOS vs MON   MON in 7  (this may be a bit biased but I feel the Canadiens will
		       (smarten up and start playing they played two months ago
			( i.e. bench Savard !!!)
	Patrick Division 

PIT vs NJD   PIT in 6  (It wont be a complete cake walk... there be a few lumps
			(in the cake batter!)

WAS vs NYI   WAS in 6  	(This will not be an exciting series..IMO)


PITT vs WAS  PIT in 4   (Washington will be tired after the NYI)

	Norris Division

CHI vs StL    CHI in 5   (StL will get a lucky game in)

TOR vs DET    TOR in 7   (THis , like MON vs QUE, will be another intense 
			 (series to watch!)

CHI vs TOR    TOR in 7   (Potvin will be settling in nicely by this point.)

	Smythe Division

VAN vs WIN     VAN in 5  (Teemu is great, but Vancouver better as a team!)

CAL vs LAK     CAL in 6  (Gretzky is great, but Calgary has been on fire lately)
				...sorry for the pun... um, no I am not! :)

VAN vs CAL     VAN in 6  (This will be a great series! but VAN has proven they
			 (Will not lie down and get beat!)

	Wales Conference finals

Pittsburgh vs Montreal    	Montreal in 6 (Montreal IMHO is the only team
					      (that has a chance against 
						Pittsburgh.)

	Campbell Conference finals

Vancouver vs Toronto		Toronto in 6  (Potvin will be series MVP)


	STANLEY CUP FINALS  

Toronto Maple Leafs    vs    Montreal Canadiens    
	(The Classic Stanley Cup Final matchup!!) <---also a dream come true!

	Montreal wins the Stanley cup in the 7th game 1 - 0 in double overtime.
Roy and Potvin are spectacular throughout the series and share series MVP (if 
that is possible) Vincent Damphouse nets game winner from a brilliant pass by
Brian Bellows! Canadiens star(?) Denis Savard watched his buddies play from the
owners box nursing that splinter on his thumb which has left him on the 
disabled list since the first game of the playoffs (awww shucks). 

***************************************YEE HAA!!*******************************
*poof* And I wake up :)
Well that is my predictions...I hope and dream they come true. and you can stop
laughing anytime :)

							Paul
						Die hard Habs Fan living with
						3 Die hard Leafs fans!",hockey
"From: rsmith@strobe.ATC.Olivetti.Com (Russ Smith)
Subject: Re: Jose Canseco's Swing - 1992 vs. 1986.
Distribution: na
Organization: Olivetti ATC; Cupertino CA, USA
Lines: 68

In article <C5JKIK.1zF@ucdavis.edu> ez027993@dale.ucdavis.edu (Gary Built Like Villanueva Huckabay) writes:
>Here's my analysis of Jose Canseco, circa Sep '92, and Jose Canseco,
>circa June 1986.
>
>1.  He's bulked up too much.  Period.  He needs to LOSE about 20 pounds,
>    not gain more bulk.

I've been saying that for at least 2 years now and even the A's conditioning
guru told Jose he was carrying too much weight and losing some would help
his back.Although I don't for one second believe Jose used steroids,his
back problems are very similar to problems alot of steroid users experience
because they are simply carrying too much weight on their frame(see Jeff
Bregel ex 49er as a textbook example), and IMHO Jose is too big for his
frame.


>2.  His bat speed has absolutely VANISHED.  Conservatively, I'd say he's
>    lost 4%-7% of his bat speed, and that's a HUGE amount of speed.

I can't imagine how to estimate bat speed, but its pretty obvious that
Jose is missing fastballs he used to hit, likely due to his back.


>3.  That open stance is KILLING him.   Note that he acts sort of like
>    Brian Downing - way open to start, then closes up as ball is
>    released.  Downing could do this without significant head movement -
>    Canseco can't.  Also, note that Canseco doesn't always close his
>    stance the same way - sometimes, his hips are open, sometimes,
>    they're fully closed.  Without a good starting point, it's hard
>    to make adjustments in your swing.

I don't know, he had an even more open stance when he first came up with
the A's, and had no problems with it then. It might be that pre-back
problems, he was quick enough to cover up any deficiencies the stance
caused, but now he's lost just enough bat speed that the stance hurts
him. The old saying if you're hot its a trigger mechanism, if you're
cold, its a hitch. 

>First, minimize movement before the swing.  Close and widen the stance,
>and severely cut down the stride I take on my swing.  Hopefully, this
>will cut down on the time I need to swing, and will allow me to move
>the bathead more freely.

The biggest problem IMHO is he never has found a stance he's comfortable
with for more than a few months. He changes his stance so much, he loses
track of where the strike zone is. In Wednesday's night game, he was 
clearly mad at strike calls on both corners that looked pretty good to
me. I think he no longer knows where the strike zone really is because
he's changed his stance so much.

I'm also a bit concerned that because he's got Palmer and Gonzalez hitting
all the homeruns, he'll become competitive, swing even harder and screw
himself up even worse. LaRussa always said that Canseco's famous batting
practice homer shows did him more harm than good as they encouraged
bad hitting habits.




Russ Smith
*******************************************************************************
""I don't know anything about X's, but I know about some O.""              
                  George Gervin on being an assistant coach
********************************************************************************",baseball
"From: ragraca@vela.acs.oakland.edu (Randy A. Graca)
Subject: Sparky Anderson Gets win #2000, Tigers beat A's
Organization: Oakland University, Rochester, Michigan, U.S.A.
Lines: 36
NNTP-Posting-Host: vela.acs.oakland.edu

Tigers' manager Sparky Anderson gets his 2,000th career win as moments ago,
the Tigers completed a two game sweep over the Oakland A's at Tiger Stadium
by beating the A's 3-2. Here are the highlights:


				R    H   E    
             Oakland		2    9   0
	     Detroit            3    7   1

Chad Krueter scored Skeeter Barnes from 1st with an RBI double in the 
bottom of the ninth against none other than Dennis Eckersley to give the
Tigers the victory.  Barnes also had an RBI single to score Thurmond to
tie the score in the ninth, also off Eckersley (sp?).

The A's got their runs on an RBI single by McGwire in the 1st and a solo
homer by Reuben Sierra in the 6th.  Deer doubled home Kirk Gibson in the
7th for the other Tiger run.

John Doherty pitched another strong game for the Tigers, once again lasting
through the seventh inning.  He was relieved by Bolton and then David Haas
in the 8th, and Haas got the win.  Bobby Witt started for the A's, and was
replaced by Honeycutt in the 6th, followed by Goose Gossage in the 8th, and
finally Eckersly in the 9th.  Doherty gave up both of the A's runs, while
Witt gave up the first Tiger run and Eckerseley gave up the last two.

In the post game interview (on WJR radio in Detroit), Sparky Anderson said
its one of the few times he's gotten emotional in his managing career.  It
was a big moment for him, and I'm sure all of us Tiger fans are unanimously
very happy for him.  And what a way to get number 2,000!.

Considering the circumstances, I think it might be appropriate to say:

                WOOF!      Go Tigers!

--Randy",baseball
