spanish,english
"Pero quiero decir, Señorías, que la seguridad es un objetivo prioritario de la Comisión.","But I would like to say that safety is a priority objective for the Commission."
"Como diré en el debate sobre el Erika, no esperamos a que haya una catástrofe para volcarnos sobre el aspecto de la seguridad, sino que trabajamos en ello al margen de esas circunstancias, que lo único que hacen es mostrar la urgencia de una respuesta eficaz a ese tipo de problemas.","As I will say in the debate on the Erika disaster, we do not wait until there is a disaster to deal with the question of safety, but we work on it even when there are no such circumstances, which simply serve to demonstrate the urgency for an effective response to this type of problem."
"Quiero reiterar mi agradecimiento a todos los que han intervenido y muy especialmente al ponente, Sr. Koch.","I would like to repeat my appreciation to all the speakers and especially to the rapporteur, Mr Koch."
"El debate queda cerrado.","The debate is closed."
"La votación tendrá lugar mañana a las 12.00 horas.","The vote will take place tomorrow at 12 p.m."
"Transporte de mercancías peligrosas por carretera","Transport of dangerous goods by road"
"De conformidad con el orden del día se procede al debate del informe (A5-0104/1999) del Sr. Koch, en nombre de la Comisión de Política Regional, Transportes y Turismo, sobre una propuesta de directiva del Parlamento Europeo y del Consejo (COM(1999) 158 - C5-0004/1999 - 1999/0083(COD)) por la que se modifica la Directiva 94/55/CE sobre la aproximación de las legislaciones de los Estados miembros con respecto al transporte de mercancías peligrosas por carretera.","The next item is the report (A5-0104/1999) by Mr Koch, on behalf of the Committee on Regional Policy, Transport and Tourism, on the proposal for a European Parliament and Council directive amending Directive 94/55/EC on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road [COM(1999) 158 - C5-0004/1999 - 1999/0083(COD)]."
"Señor Presidente, distinguida señora Comisaria, estimados colegas, la directiva relativa a la aproximación de las legislaciones de los Estados miembros sobre el transporte de mercancías peligrosas por carretera, que entró en vigor el 1 de enero de 1997, contiene algunas disposiciones transitorias cuya vigencia está sometida a plazo y se encuentra vinculada a la conclusión de determinados trabajos de normalización del CEN, es decir, del Comité Europeo de Normalización.","Mr President, Commissioner, ladies and gentlemen, the directive on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road, which entered into force on 1 January 1997, contains a number of transitional provisions which are only valid for a limited period of time, the term of validity being linked to the completion of specific standardisation work by the CEN, that is the European Committee for Standardisation."
"Ahora bien, algunos aplazamientos que se han producido en los trabajos del CEN están originando problemas a la hora de la aplicación de esta directiva.","Delays in the CEN' s work are now making it difficult to apply this very directive."
"En especial, no es posible adaptar los anexos de acuerdo con el desarrollo técnico e industrial.","In particular, annexes cannot be adapted to take account of technical and industrial developments."
"Lamento esto, pues debemos actuar porque otros no han realizado su trabajo.","I regret this since we are having to take action because others have not done their job."
"En este sentido acepto la presente propuesta, que hoy se somete a debate, sobre la modificación de la Directiva 94/55/CE.","In this respect, I accept this proposal to amend Directive 94/55/EC which has been tabled for discussion today."
"La inactividad de la Unión Europea obligaría a los Estados miembros a modificar sus normas jurídicas intraestatales para un corto período de tiempo, en concreto, hasta la conclusión de los trabajos del CEN, lo cual origina costes e inseguridades innecesarios.","Should the European Union fail to take action, then Member States would be obliged to amend their national legislation for a very brief period, until the CEN completes its work, which would cause unnecessary cost and uncertainty."
"Por consiguiente, la modificación de la directiva, que figura hoy en el orden del día, no produce ningún cambio en la armonización del transporte de mercancías peligrosas que se está llevando a cabo en la Comunidad.","The amendment to the directive on today's agenda does not therefore affect the existing harmonisation of the transport of dangerous goods in the Community."
"Prorroga únicamente algunas disposiciones transitorias mediante el aplazamiento de los límites temporales, no suprime más disposiciones específicas y regula los procedimientos para a) los transportes ad hoc de mercancías peligrosas, así como para b) la aprobación de disposiciones nacionales menos rigurosas, en especial en el caso del transporte de cantidades muy pequeñas de mercancías peligrosas en territorios localmente muy delimitados.","It merely prolongs transitional rules by postponing deadlines, deletes provisions which are no longer applicable, and lays down the procedures for a) carrying out the ad hoc transportation of dangerous goods and b) enacting less stringent national regulations, in particular for the transport of very small amounts of dangerous goods within strictly defined local areas."
"De esta suerte la modificación de la directiva se hace completamente en el sentido de la subsidiariedad; los Estados miembros adquieren más facultades.","The amendment to the directive is consequently in full accordance with the principle of subsidiarity; the Member States obtain more powers."
"La Comisión de la UE decide si los Estados miembros pueden dictar determinadas disposiciones propias.","The Commission decides whether the Member States may impose certain rules of their own."
"A este respecto está asistida, de acuerdo con el procedimiento normativo, por un Comité de expertos en materia de transporte de mercancías peligrosas.","In so doing, it is supported by a committee of experts on the transport of dangerous goods under the regulatory procedure."
"Las modalidades de ejercicio de estas facultades de ejecución transferidas a la Comisión fueron reguladas por vez primera por acuerdo del Consejo de junio de 1999.","The procedures for the exercise of these implementing powers conferred on the Commission were laid down afresh in the Council Decision of June 1999."
"La propuesta de modificación de la directiva relativa al transporte de mercancías peligrosas por carretera, que hoy se halla sometida a debate, data de mayo de 1999 y, en consecuencia, no ha podido valerse todavía del actual procedimiento de comitología.","The proposal to be discussed today, to amend the directive on the transport of dangerous goods by road, dates from May 1999, however, and could not therefore take account of the latest comitology procedure."
"Las enmiendas que se han presentado y que han sido aprobadas por unanimidad en la comisión se refieren precisamente en dos casos a este modificado procedimiento de comitología.","Two of the amendments tabled and adopted unanimously by the committee relate precisely to this amended comitology procedure."
"Quisiéramos asegurar que se aluda ya a esto en los considerandos y que el plazo, imprecisamente formulado, dentro del cual el Consejo ha de adoptar una decisión, se fije en tres meses como máximo.","We would like to ensure that there is a reference to this as early as the recitals and that the period within which the Council has to make a decision - which is not clearly worded - is set at a maximum of three months."
"Por lo demás se alude también a la necesidad de una mayor transparencia.","In addition, the need for greater transparency has been pointed out."
"Otra enmienda permite a los Estados miembros establecer exigencias más estrictas, en especial para los tanques al vacío, cuando el trabajo o el transporte se hayan de realizar preferentemente a temperaturas considerablemente inferiores a los 20 grados bajo cero.","A further amendment allows the Member States to impose more stringent requirements, in particular for vacuum tanks, if work is done or goods are transported as a priority in temperatures well below -20ºC."
"Esto interesa especialmente a las regiones del norte de Europa.","This is in the special interest of northern European regions."
"Una última enmienda va encaminada a propiciar que se siga autorizando la utilización de los tanques y vehículos cisterna que hayan entrado en uso entre el 1 de enero de 1997 y la entrada en vigor de esta directiva, si su construcción y mantenimiento se ajustan a lo dispuesto.","A final amendment is intended to ensure that tanks and tankers put into service between 1 January 1997 and the entry into force of this directive may continue to be used provided that they have been constructed and maintained in accordance with it."
"Consciente también de que esto no es más que un pequeño paso hacia una mayor seguridad, les pido a ustedes su conformidad para el presente informe.","I do realise that this is only a small step towards increased transport safety, but I would ask you to endorse this report."
"Señor Presidente, señorías, feliz Año Nuevo y feliz Milenio.","Mr President, colleagues, a happy new year and millennium to you all."
"Intervengo por primera vez en una sesión plenaria, de manera que esto es emocionante, un poco como el primer amor, sólo que el primer amor duró más de dos minutos.","I am speaking for the first time in this plenary part-session, so this is quite exciting for me, a little like first love, although that did last longer than two minutes."
"Quisiera comentar brevemente la propuesta presentada por la Comisión que modificará la directiva en vigor sobre el transporte de mercancías peligrosas por carretera.","I would like to briefly comment on the Commission' s proposal to amend the directive on the transport of dangerous goods by road."
"Es bueno que se adopte esta directiva ahora porque, de lo contrario, los Estados miembros se verían obligados a modificar sus legislaciones nacionales para un plazo muy breve, para un período de transición, cosa que, a su vez, sólo originaría costes innecesarios y aumentaría una vez más los quebraderos de cabeza de los ciudadanos frente a la burocracia de la UE.","It is good that this directive should be established now, as, otherwise, Member States would have to amend their national acts for a very short time, a period of transition, which would again mean unnecessary costs and which would once more increase concern with regard to EU bureaucracy."
"Sin embargo, la propuesta de la Comisión no ha tomado en cuenta todos los factores como, por ejemplo, el frío clima de las regiones septentrionales.","The Commission' s proposal, however, does not take account of all the facts, such as the cold climate that prevails in the northern regions."
"Así pues, propuse algunas enmiendas al espléndido informe de mi colega, el Sr. Koch, que fueron aprobadas por nuestra comisión parlamentaria.","Consequently, I have tabled some amendments to Mr Koch' s intrinsically excellent report, which have been adopted by our committee."
"Mis enmiendas se refieren a la resistencia a las bajas temperaturas de los depósitos de transporte de estas mercancías peligrosas.","My amendments concern the frost-resistance ratings for tankers carrying these dangerous goods."
"De acuerdo con la propuesta de la Comisión, hubiera bastado una resistencia a los 20 grados bajo cero; en las playas del Mediterráneo es difícil imaginarse que en Laponia se den temperaturas considerablemente más bajas.","According to the Commission' s proposal -20ºC would have been sufficient. On the shores of the Mediterranean, it is hard to imagine that in Lapland temperatures can fall considerably lower than that."
"También en Laponia se apoya a la UE, así que acordémonos de ellos.","There is support for the EU in Lapland also, so let us remember them."
"Por lo tanto, he propuesto que se descienda el límite de resistencia a los 40 grados bajo cero.","I have thus proposed that the frost rating be lowered to -40ºC."
"Esto sería verdaderamente necesario para que el nivel de seguridad se mantenga en las regiones septentrionales.","This would be necessary to keep safety standards at the level they were in northern regions previously."
"Espero que mi propuesta sea tomada en cuenta en la votación de mañana.","I hope my proposal will be taken into consideration in tomorrow' s vote."
"Señor Presidente, si me lo permite, quisiera manifestarle ante todo mi respeto por la forma en que usted ha llevado a cabo el ágil cambio en la Presidencia durante el debate.","Mr President, with your permission I should like to begin by expressing my admiration for the way in which you executed the quick changeover of the chairmanship just now during the debate."
"Lo he encontrado magnífico.","I thought that it was quite superb."
"Entro en el tema: creo que los ciudadanos de Europa pueden confiar en que lo que se transporta en Europa por carretera, por ferrocarril o por las vías navegables se transporta con toda la seguridad posible, aun siendo mercancías peligrosas.","On the subject at hand, I think that the people of Europe must be able to be confident that the goods - however dangerous they are - which are transported on Europe's roads, railways, and so on are as safe as possible."
"Esta directiva es una contribución a ello.","This directive is a contribution to this."
"Lo que estamos haciendo hoy constituye un escándalo.","What we are doing today is essentially a nuisance."
"El ponente, Sr. Koch, al que damos las gracias por el trabajo que ha llevado a cabo, ha aludido a que en el fondo todo podría estar más avanzado si no existiera esta demora de los CEN que son muy lentos en la elaboración y en la adaptación de la directiva.","The rapporteur, Mr Koch, to whom we express our thanks for the work which he has done on this, has already pointed out that basically everything could have been somewhat more advanced had it not been for the inactivity on the part of the CEN, which has been very dilatory in drawing up and adapting the directive."
"Por esta razón, no nos queda más que esperar -y deberíamos decidir esto en esta semana- que en el 2001 dispongamos, por fin, de regulaciones comunitarias para el transporte de mercancías peligrosas por carretera, de suerte que en este punto tengamos un poco de seguridad jurídica y también un poco más de seguridad en nuestras carreteras.","That is why we can only hope - and we should resolve all of this this week - that, in 2001, we will finally have Community regulations for the transport of dangerous goods by road so that we have a degree of legal certainty here and also so that our roads are a good deal safer."
"Señor Presidente, el informe que estamos tratando no representa grandes cambios.","Mr President, the report we are discussing here does not, in itself, entail any major changes."
"La mayoría de las enmiendas son exclusivamente de carácter técnico.","Most of the proposed amendments are of a purely technical nature."
"Sin embargo, vale la pena subrayar que esta clase de decisiones es provechosa desde el punto de vista medioambiental y porque crea mejores condiciones para el funcionamiento del mercado interior.","It is nonetheless worth emphasising that, each time we make this type of decision, it is good from a broad environmental perspective and it is beneficial because it creates better prior conditions for exploiting the possibilities of the internal market."
"En la UE se transportan grandes cantidades de mercancías peligrosas por carreteras, por ferrocarriles y por mar.","Very large quantities of dangerous goods are transported around the EU, both on roads and railways and by sea."
"Se necesitan normas que regulen este transporte.","This makes it necessary to have proper rules governing transport of this kind."
"Sector tras sector está siendo regulado por normas mínimas que obligan a los Estados miembros.","In area after area, we are now obtaining common minimum regulations for the Member States."
"Esto es extraordinariamente provechoso y doy las gracias al ponente Koch por el trabajo realizado en relación con esta materia.","This is extraordinarily positive, and there is cause to thank the rapporteur, Mr Koch, for the work he has put in on this issue."
"Esto también es importante en cuanto a las condiciones para el mercado interior.","This is also important where the prerequisites for the internal market are concerned."
"Para que el mercado de transportes común realmente funcione no sólo es importante que existan reglas, sino que también esas reglas, en la medida de lo posible, sean comunes.","If we are to get a common transport market genuinely up and running, it is important that we should not only have regulations but that these regulations should also, as far as possible, apply to every country."
"Finalmente quisiera comentar una tercera cosa que también es importante, esto es, una enmienda presentada por el diputado Ari Vatanen.","I should like to conclude by commenting on a third matter which is also of significance, namely an amendment tabled by Member of Parliament, Mr Ari Vatanen."
"Las condiciones de los Estados miembros difieren entre sí en muchos aspectos.","In many ways, the prerequisites differ from one Member State to another."
"Mediante la aprobación de esta enmienda tomamos en consideración el hecho de que en la zona norte puede hacer mucho frío.","By approving this amendment, we take account of the fact that it can be very cold in the northern parts of the European Union."
"Esto hace necesario también tener en cuenta que este frío influye en los materiales y envases.","This makes it necessary to also take account of the ways in which materials and packaging are affected by cold of this kind."
"Señor Presidente, tenemos que ser flexibles a la hora de dictar normas.","It is good that, in establishing the present regulations, we can also be flexible."
"Tengo la esperanza de que la Comisión acepte esta enmienda.","I hope that the Commission is able to accept the present amendment."
"Señor Presidente, no solo quiero dar las gracias a nuestro colega, el Sr. Koch, sino también a la Vicepresidenta de la Comisión por haberse pronunciado con tanta claridad y sin equívocos a favor de la seguridad en el ámbito del transporte y a favor de la prioridad de la seguridad.","Mr President, I would like to thank not only Mr Koch, but also the Vice-President of the Commission for the clear and unambiguous way in which they have declared their support for safety in the transport sector and acknowledged it as a priority."
"El Sr. Koch ha redactado su buen informe porque en el CEN y también en el marco de la Comisión de Economía de las Naciones Unidas no se ha hecho el trabajo de manera tan expeditiva.","The reason Mr Koch produced his sound report was because the work in the CEN and within the United Nations Economic Commission was proceeding none too expeditiously."
"Quisiera preguntar a la Vicepresidenta si nos puede decir hoy cómo están las cosas en lo que respecta a los esfuerzos de armonización de estas dos organizaciones y si la UE tiene la posibilidad de acelerar los esfuerzos de armonización con arreglo a los principios más simples posibles.","I would like to ask the Vice-President if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations, and whether the EU is in a position to hasten these harmonisation efforts, in accordance with principles that are as simple as possible."
"Porque está claro que aunque en el seno de la Unión Europea adoptemos una regulación excelente, el transporte no se detiene en las fronteras sino que va más allá de éstas.","For one thing is clear: even if we come to an excellent arrangement within the European Union, traffic does not stop at our borders, it goes beyond them."
"Por esta razón son convenientes, sin duda, unas regulaciones amplias, es decir, de ámbito regional.","Hence there is certainly every reason to introduce more far-reaching regional provisions."
"Si la Sra. Comisaria no puede hacer esto hoy, ¿estaría dispuesta a hacer llegar por escrito a la comisión el estado de cosas y el estado de las negociaciones entre el CEN y la Comisión de Economía?","If the Commissioner is unable to do so today then would she be prepared to inform the committee in writing of how matters stand and what stage negotiations between the CEN and the Economic Commission are at?"
". Señor Presidente, de nuevo reitero mi felicitación al Sr. Koch por su trabajo en este otro informe, que de alguna manera viene a completar el debate que tuvimos en el mes de octubre sobre el transporte por ferrocarril.","Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way supplements the debate which we held in October on rail transport."
"Todos lamentamos que el Comité Europeo de Normalización (CEN) no haya sido capaz de llevar a cabo en el tiempo requerido la modificación de disposiciones necesaria para una armonización adecuada en el ámbito de la Unión Europea.","We all regret that the European Committee for Standardisation (CEN) has not been able, in the required time, to carry out the amendment of the provisions necessary for the required harmonisation within the European Union."
"Este debate y la modificación de la directiva actualmente en vigor nos permiten incorporar hechos diferenciales que hablan de la diversidad de nuestra Europa.","This debate and the amendment of the directive currently in force allow us to incorporate differentiating elements which demonstrate the diversity of this Europe of ours."
"Hace un momento el Sr. Vatanen nos hablaba de temperaturas inferiores, no ya a los 20 grados bajo cero, sino a los 40 grados bajo cero.","A moment ago, Mr Vatanen spoke to us of lower temperatures, not of 20 degrees below zero, but of 40 degrees below zero."
"Por supuesto aceptamos esa enmienda, tiene toda la razón, y creo que hay que incorporar circunstancias concretas que hablan de la variedad climática de la Unión Europea, que se traduce a veces en especificidades y en requisitos concretos a la hora de contemplar normalizaciones o caracterizaciones de tipo técnico.","Of course, we accept that amendment - it is absolutely right - and I believe that we should incorporate specific circumstances which demonstrate the climatic diversity of the European Union, which sometimes take the form of specifics and of concrete requirements for the establishment of standards and characterisations of a technical nature."
"Quiero decir, respecto a lo manifestado por el Sr. Swoboda en cuanto a la actividad del CEN, que estamos urgiéndoles a que aceleren al máximo su trabajo porque sería dramático que, a pesar del nuevo plazo, nos encontráramos dentro de un año y pico ante las mismas dificultades por no haberlo concluido.","I would like to say, with regard to Mr Swoboda' s comments on the activity of the CEN, that we are urging them to speed up their work as much as possible because it would be terrible if, despite the new deadline, we were to find ourselves after a year and a bit with the same difficulties because their work has not been concluded."
"Por último, señor Presidente, ya han sido señalados los problemas fundamentales que justifican esta modificación de la directiva, nos hemos referido al retraso del CEN, a la modificación de algunas disposiciones, a la coherencia entre el texto de la directiva y el contenido de los anexos, a la necesidad de aportar una mayor precisión.","Lastly, Mr President, the basic problems justifying this amendment of the directive have been pointed out. We have referred to the delay by the CEN, the amendment of certain provisions, the consistency between the text of the directive and the content of the annexes and the need to for it to be more specific."
"Todas las aportaciones de la comisión parlamentaria y del ponente, Sr. Koch, que se han traducido en distintas enmiendas, concretamente en cuatro, son recogidas por la Comisión.","The Commission accepts all of the contributions of the parliamentary committee and the rapporteur, Mr Koch, which are contained in the various amendments, specifically four."
"Aceptamos, pues, las cuatro enmiendas que nos han sido propuestas.","We therefore accept the four amendments which have been proposed."
"El debate queda cerrado.","The debate is closed."
"La votación tendrá lugar mañana a las 12.00 horas.","The vote will take place tomorrow at 12 p.m."
"Coordinación Fondos estructurales/Fondo de Cohesión","Structural Funds - Cohesion Fund coordination"
". De conformidad con el orden del día se procede al debate del informe (A5-0108/1999) de la Sra. Schroedter, en nombre de la Comisión de Política Regional, Transportes y Turismo, sobre la Comunicación de la Comisión relativa a los Fondos estructurales y su coordinación con el Fondo de Cohesión: directrices para los programas del período 2000-2006 (COM(1999)344 - C5-0122/1999- 1999/2127(COS)).","The next item is the report (A5-0108/1999) by Mrs Schroedter, on behalf of the Committee on Regional Policy, Transport and Tourism, on the communication from the Commission in the field of the Structural Funds and their coordination with the Cohesion Fund: guidelines for programmes in the period 2000-2006 [COM(1999)344 - C5-0122/1999 - 1999/2127(COS)]."
"Señor Presidente, me es particularmente grato que mi primera intervención en el Parlamento Europeo toque una cuestión que se ha considerado de la máxima importancia para la parte del Reino Unido que represento en este Parlamento, a saber, Gales.","Mr President, it is particularly pleasing for me to make my first speech in the European Parliament on what is regarded as the most important issue within that part of the United Kingdom that I represent in this Parliament, namely Wales."
"Como usted sabe, a una parte importante de Gales se le ha dado el estatus de Objetivo I dentro del programa de los Fondos Estructurales.","A major part of Wales, as you know, has been granted Objective 1 status under the Structural Funds programme."
"Es bastante evidente que muchas personas de Gales confían en el programa de Fondos Estructurales Europeos para solventar algunas de las grandes dificultades que sin duda están atravesando.","It is quite clear that many people within Wales are looking to the European Structural Funds programme to alleviate some of the great difficulties that we undoubtedly face."
"Podemos apreciar el aumento de la pobreza en Gales, sobre todo desde 1997.","We have seen poverty growing in Wales; and growing still further since 1997."
"Se ha ensanchado el abismo entre ricos y pobres.","We have seen the gap between rich and poor widen."
"Así, confiamos que con el programa de Fondos Estructurales no sólo se reestructure la industria, sino también que mejore el conjunto de la base económica del Principado.","We are looking, therefore, within the Structural Funds programme not just to see industrial restructuring but also to see a wider improvement in the whole of the economic base within the Principality."
"Sin embargo, lo que nos es extremadamente perjudicial es la creencia de que de la concesión de Fondos Estructurales es algo que ha sido, en cierto sentido, un logro del gobierno.","What is, however, deeply damaging for us is the belief that in some way the granting of Structural Funds assistance is something that has been, in a sense, a success of the government."
"Tristemente, es sólo un reconocimiento de las grandes dificultades que está atravesando Gales.","It is sadly only a recognition of the very great difficulties that Wales faces."
"Esta es la razón por la que quiero subrayar algunas cuestiones que creo que la Comisión debe tener en primer plano.","That is why I want to highlight some of the issues that I believe the Commission must have at the forefront."
"Contamos con que la Comisión tenga en cuenta los puntos relacionados con la adicionalidad.","We look to the Commission to deal with points in relation to additionality."
"Estamos descontentos con el hecho de que esas cifras parecen haber sido de alguna manera ocultadas dentro del conjunto de las cifras del Reino Unido.","We are dissatisfied with the fact that those figures seem to have been in some way hidden within UK figures."
"Contamos con que la Comisión también asegure que existen fondos ajustados a los proyectos.","We look to the Commission also to ensure that there is matched funding for projects."
"Contamos con ello para desafiar al Gobierno del Reino Unido, para asegurar que el sector privado, que seguramente constituye el mayor objetivo del gasto de los Fondos Estructurales, se implica en la planificación.","We look to it to challenge the UK Government, to ensure that the private sector, which surely must be providing the major impetus for Structural Funds expenditure, is involved in the planning stage."
"Por último, pedimos que la Comisión asegure que el dinero de los Fondos Estructurales se gasta de forma transparente.","Finally, we ask that the Commission ensures that Structural Fund monies are spent in a way which is transparent."
"En este Parlamento hay demasiadas cosas que no son transparentes.","Too much of what takes place within this Parliament is not transparent."
"Este es un asunto que propiciará la amistad de la Comisión y Gales.","This is one area in which I believe the Commission can be a very great friend to Wales."
"Señor Presidente, nuestra comisión trata estos asuntos desde muy diversos puntos de vista, y, en primer lugar, hablaré desde el punto de vista de la investigación.","Mr President, our committee views these issues very differently and, to start, I will speak from the point of view of research."
"Consideramos que es muy positivo que el ponente de opinión haya incorporado a sus propias conclusiones la propuesta de nuestra comisión sobre la necesidad de que, en los países incluidos en la cohesión, se amplíe la infraestructura de la investigación emplazando a las Escuelas Superiores y otros centros de formación de tal modo, que presten un mejor servicio a los habitantes de las zonas menos desarrolladas y faciliten la permanencia de las personas cualificadas en sus zonas de origen.","We see it as a very positive sign that, in her own conclusions, the rapporteur has taken account of our committee' s proposal that the Cohesion Fund countries should broaden the research infrastructure by locating universities and colleges in such a way that they would serve those who live in undeveloped regions better than now and make it easier for educated people to remain in their home districts."
"Esto es posible mediante la adopción de medidas por parte de las administraciones públicas, y este método de esparcimiento territorial en la ubicación de la Enseñanza Superior es, sin duda alguna, una política eficiente para nivelar el desarrollo.","This will be possible with action on the part of governments, and such decentralisation of higher education will be an unquestionably useful policy in evening out development."
"Otro asunto al que quisimos prestar nuestra atención, sobre todo desde el punto de vista de la política industrial, es que hubiéramos querido que, a la hora de planificar la coordinación del Fondo de Cohesión y de los Fondos Estructurales, la Comisión hubiese tomado más en cuenta los efectos del crecimiento de los servicios, del comercio electrónico y del uso de internet.","Another matter we would like to address, specifically from the point of view of industrial policy, is that we would have liked the Commission to pay more attention to the effects of services, electronic commerce and the growing use of the Internet, when they were planning the coordination of Structural Funds and Cohesion Funds."
"Antes la pobreza y la riqueza dependían de las estructuras de las actividades económicas.","Poverty and wealth used to depend more on means of livelihood."
"Las regiones ricas eran las que contaban con mayor número de puestos de trabajo en el sector industrial, pero hoy en día estas zonas pueden llegar a significar una carga y a ser incluso pobres, y, en tal caso, deben realizarse nuevas inversiones en los sectores llamados de producción informática y de producción de servicios, puesto que se trata de los sectores del futuro.","The rich areas were those where there were jobs in industry, but today those areas might have become a burden, and they may well be poor, meaning we also have to invest in new sectors of industry such as electronic production, as I might call it, and the production of services, because they are the industries of the future."
"Este aspecto no ha sido tomado lo suficientemente en cuenta por la comisión encargada de elaborar el informe, así que, en nombre de la Comisión de Industria, llamo la atención de la Comisión sobre este asunto.","In my opinion the committee drafting the report has not taken sufficient account of this, so on behalf of the Committee on Industry, External Trade, Research and Energy, I would draw the Commission' s attention to this issue."
"Por último, hubiéramos deseado, en nuestra calidad de Comisión de Energía, que se hubiese resaltado más la necesidad de subvencionar las energías renovables con el Fondo de Cohesión y con los Fondos estructurales, y así se hubiese podido incrementar, aplicando la coordinación de ambos Fondos, el uso de las energías renovables, de manera que la carencia de recursos financieros del programa energético se hubiese visto compensada mediante la concesión de estas considerables ayudas económicas.","Finally, as the committee representing energy, we would have liked the issue of support for renewable energy resources from Cohesion and Regional Development funds to have been emphasised still more, thus, through a process of coordination, increasing the use of renewables so that the scant funding resources in the energy programme might have been compensated by means of these more substantial sums."
"Señor Presidente, quisiera expresar mi profundo agradecimiento al Sr. Schroedter por su contribución a esta cuestión y por explicar a los colegas que estoy hablando en nombre de mi colega, el Sr. Flautre, que lo sucedió en la Comisión de Empleo y Asuntos Sociales pero que por desgracia está enfermo.","Mr President, I would very much like to thank Mrs Schroedter for the work she has done on this and to explain to colleagues that I am speaking for my colleague, Mrs Flautre, who followed this for the Committee on Employment and Social Affairs but who is unfortunately ill."
"Me gustaría que la gente prestara atención a las Enmiendas Números 1 y 2 acordadas por la Comisión de Empleo y Asuntos Sociales que, sin embargo, han sido rechazadas por la Comisión de Política Regional, Transporte y Turismo.","I would like to draw people's attention to Amendments Nos 1 and 2 which were agreed by the Committee on Employment and Social Affairs but not accepted by the Committee on Regional Policy, Transport and Tourism."
"Estas enmiendas versan sobre la economía social y sobre la necesidad de proporcionar capital riesgo social y de apoyar planes de financiación local para desarrollar oportunidades de empleo y fortalecer la cohesión social.","These amendments deal with the social economy and the need to provide social risk capital and support financially local schemes to develop employment opportunities and strengthen social cohesion."
"El Parlamento consideró en el pasado la economía social como un importante proveedor potencial de empleo.","In the past, this Parliament has viewed the social economy as an important potential provider of employment."
"Estas enmiendas también concuerdan con la idea de este Parlamento de que la exclusión social es una cuestión grave que requiere una acción constructiva.","These amendments also fit in with this Parliament's view that social exclusion is a serious issue needing constructive action."
"Esperamos que los que estén considerando rechazar estas enmiendas ofrezcan al Parlamento y a los ciudadanos de sus países que buscan empleo razones muy poderosas para hacerlo.","We hope that those considering rejection of these amendments have very powerful reasons to offer to both Parliament and their citizens who are seeking employment."
"El Sr. Flautre subrayó en su informe un área en la que la coordinación brilla por su ausencia, aunque se necesita imperiosamente.","In her report, Mrs Flautre also drew attention to an area where coordination is sorely lacking, yet desperately needed."
"Las propuestas de la Comisión hacen referencia a los cuatro pilares de la estrategia del empleo y a los cinco campos de acción del Fondo Social Europeo.","The Commission proposals refer to the four pillars of employment strategy and the five fields of action of the European Social Fund."
"Pero debemos lamentar sobre todo la ausencia de directrices específicas, debido a que la idea de vincular la ayuda del Fondo Social a la estrategia de empleo se llevará a la práctica por primera vez en el programa 2000-2006.","But the lack of specific guidelines here is particularly to be regretted, as the idea of linking Social Fund assistance to the employment strategy will be put into effect for the first time during the 2000-2006 programme."
"Podría decirse que la omisión sugiere que la Comisión tampoco tiene idea del modo de proporcionar la máxima coordinación entre la ayuda del Fondo Social Europeo, sujeta a revisión tras tres años y medio, y los planes anuales de empleo de los Estados Miembros.","It could be said that the omission gives the impression that the Commission too has no idea how to provide maximum coordination between European Social Fund assistance, which is subject to review after three and a half years, and the Member States' annual national plans for employment."
"Esperamos que la Comisión nos pueda asegurar que se trata de un descuido que está remediando de modo constructivo.","We hope that the Commission can reassure us that this was an oversight which is now being dealt with constructively."
". Señor Presidente, señor Comisario, Señorías, la propuesta presentada por la Comisión, cumpliendo el mandato que tiene, es un punto de partida razonable para la Comisión de Agricultura y Desarrollo Rural.","Mr President, Commissioner, the proposal presented by the Commission, in accordance with its mandate, is a reasonable starting point for the Committee on Agriculture and Rural Development."
"Pero a mí me gustaría resaltar aquí que este punto de partida nos indica los desafíos ante los que nos encontramos: mantener la población en las zonas rurales, ante los cambios que se están produciendo en todo tipo de actividades económicas debido a la creciente pérdida de peso del sector agrícola entre las diversas fuentes de renta de la sociedad rural.","I would like to point out, however, that this starting point indicates to us the challenges which face us: maintaining a population in rural areas, given the changes taking place in all types of economic activity owing to agriculture' s increasing lack of importance amongst the various sources of income for rural society."
"Esto, unido a las deficiencias en las redes de infraestructuras y servicios, y a una oferta de empleo generalmente muy escasa y a lo sumo estacional y poco diversificada, acentúan el éxodo de las zonas rurales.","This, as well as the deficiencies in the networks of infrastructures and services and a generally very low level of employment, which furthermore is seasonal and lacks diversity, exacerbates the exodus from rural areas."
"Las consecuencias no se hacen esperar.","The consequences do not inspire hope."
"Son los jóvenes los que desaparecen, los que adquieren formación y encuentran empleo fuera de las zonas rurales, lo cual incide desfavorablemente en estas mismas zonas.","It is the young people who are disappearing, who are getting an education and finding work outside of the rural areas, all of which has an unfavourable effect on those areas."
"Esta falta de infraestructuras es un obstáculo también para la implantación de empresas y para la creación de empleos.","This lack of infrastructure is also an obstacle to the establishment of companies and the creation of jobs."
